key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,8.075365,space,9.03084,space,6.85025,37.8,3.78,507.9365079,285.7142857,1920,,space,21.403185,75.6,space,11.27206,space,1.66738,space,1.358285,space,5.59252,space,8.119805,space,8.545235,space,12.058615,space,2.45027,space,18.669025,return,61.122215,-7542.72,9157.844697,0,0,0,0,1,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.22744,158.4,671.7374821,1,0,1,0,1,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.4023,126.72,706.6466741,2,0,2,0,1,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.482595,112.32,722.5144886,3,0,3,0,1,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.355175,135.36,697.1259853,4,0,4,0,1,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,71,12.39309167,70.26882975,468.458865,46.8458865,210.8064893,space,4.16694,space,14.60555,space,40.234795,space,5.177945,space,2.20063,space,6.00162,8,PF,weak,3,125,53,1,0,0,response1disk_5,9,6,4.849315,0,3,1,0,0,rectangle_8,0,3,1,0,0,6,0,3,1,0,0,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,5,PF,weak,3,36,-92,1,0,0,response3disk_5,4,4,4.48359,0,3,1,0,0,rectangle_8,108,44,1,0,0,6,-1,-1,1,0,0,0,1,1,5,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,5,PF,strong,3,-33,101,1,0,0,response7disk_5,7,0,3.899845,-2,6,1,0,0,rectangle_8,92,45,1,0,0,6,12,2,1,0,0,0,2,2,3,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,5,PF,weak,3,57,122,1,0,0,response1disk_5,9,7,2.85008,1,2,1,0,0,rectangle_8,1,2,1,0,0,6,1,2,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c964f54490924001511b867,60684c5b82b3d59c01f84220,2021-04-03_13h14.06.927,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.82806156,17.00786116,16.69587406,16.67926128,16.66614035,16.69587406,,,,,,,,,,,,,,,,,,,2,PF,strong,3,50,-99,1,0,0,response3disk_5,4,4,3.267,-2,1,1,0,0,rectangle_8,-2,1,1,0,0,6,-2,1,1,0,0,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
