key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,15.880285,space,73.80582,space,7.555495,45.9,4.59,297.6034858,167.3202614,1366,,space,31.01811,91.8,space,13.035455,space,5.177625,space,2.929695,space,4.86841,space,6.96702,space,20.245335,space,8.3877,space,39.657825,space,22.28177,return,9.99767,-721.248,1150.356401,0,0,0,0,1,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.848355,-702.807,1133.621691,1,0,1,0,1,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.980195,-717.15,1146.637577,2,0,2,0,1,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.952025,-715.101,1144.778165,3,0,3,0,1,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.87087,-704.856,1135.481103,4,0,4,0,1,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,114,19.8987669,137.0030101,913.3534008,91.33534008,411.0090304,space,4.19245,space,32.53554,space,69.980175,space,13.59976,space,3.84455,space,6.919615,4,PF,weak,3,29,53,1,0,0,response1disk_5,5,7,5.302465,5,-3,1,0,0,rectangle_8,5,-3,1,0,0,6,5,-3,1,0,0,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,7,PF,weak,3,-37,108,1,0,0,response7disk_5,4,0,4.461715,8,5,1,0,0,rectangle_8,8,5,1,0,0,6,8,5,1,0,0,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,8,PF,weak,3,34,104,1,0,0,response1disk_5,4,7,3.69338,-12,1,1,0,0,rectangle_8,-12,1,1,0,0,6,-12,1,1,0,0,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,5,PF,weak,3,37,82,1,0,0,response1disk_5,4,7,1.315535,5,4,1,0,0,rectangle_8,76,25,1,0,0,6,6,5,1,0,0,0,3,3,5,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc94678880a2965965fc001,606841d91824d1932b9394f5,2021-04-03_11h22.57.685,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.75731742,16.65054791,16.64227431,16.65179357,16.64241989,16.65054791,,,,,,,,,,,,,,,,,,,5,PF,strong,3,50,-83,1,0,0,response3disk_5,2,4,4.113,1,-5,1,0,0,rectangle_8,1,-5,1,0,0,6,1,-5,1,0,0,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
