key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,23.428,space,13.64,space,8.492,60.3,6.03,318.4079602,179.1044776,1920,,space,4.946,120.6,space,13.889,space,9.923,space,2.046,space,4.085,space,5.87,space,11.743,space,11.952,space,14.527,space,12.577,return,30.885,241.92,363.3966362,0,0,0,0,1,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,35.697,224.64,375.3330221,1,0,1,0,1,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,40.913,181.44,405.1739867,2,0,2,0,1,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,32.514,201.6,391.2482032,3,0,3,0,1,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,31.338,198.72,393.2376009,4,0,4,0,1,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,39,6.807472887,61.57359227,410.4906151,41.04906151,184.7207768,space,4.782,space,20.087,space,31.3,space,5.379,space,3.997,space,5.484,3,PF,weak,0,-45,146,1,0,0,response7disk_5,8,0,13.543,7,4,1,0,0,rectangle_8,7,4,1,0,0,6,7,4,1,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,3,PF,strong,0,-49,-94,1,0,0,response5disk_5,8,3,5.59,10,4,1,0,0,rectangle_8,107,45,1,0,0,6,-5,-7,1,0,0,0,1,1,3,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,1,PF,strong,0,36,-82,1,0,0,response3disk_5,1,4,4.818,-4,-8,1,0,0,rectangle_8,-4,-8,1,0,0,6,-4,-8,1,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,1,PF,strong,0,63,114,1,0,0,response1disk_5,5,7,4.607,-5,10,1,0,0,rectangle_8,111,41,1,0,0,6,-14,-3,1,0,0,0,3,3,0,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dde2885fef7c2d901c6d35a,60684b4e7d14374480f2153f,2021-04-03_12h03.36.541,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,227.4608696,234.1016949,221.3877551,226.3913044,204.2625,226.3913044,,,,,,,,,,,,,,,,,,,4,PF,weak,0,-113,-29,1,0,0,response5disk_5,5,2,4.364,-1,-5,1,0,0,rectangle_8,-1,-5,1,0,0,6,-1,-5,1,0,0,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
