key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,10.192705,space,12.009725,space,8.63448,28.7,2.87,535.1916376,301.0452962,1536,,space,14.013515,57.4,space,17.43162,space,7.623515,space,5.90984,space,11.73693,space,17.109655,space,12.901395,space,14.171065,space,18.98779,space,15.518465,return,9.93336,-799.488,2052.010295,0,0,0,0,1,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.909885,-794.88,2045.322592,1,0,1,0,1,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.848355,-785.664,2031.947185,2,0,2,0,1,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.85601,-787.968,2035.291037,3,0,3,0,1,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.96903,-801.792,2055.354147,4,0,4,0,1,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,205,35.78287031,154.0452567,1026.968378,102.6968378,462.13577,space,7.20585,space,27.45269,space,48.53189,space,7.12256,space,11.172355,space,5.86557,2,PF,strong,3,-30.39994018,79.19997033,1,0,0,response7disk_5,2,0,24.157745,0.800011456,-5.600006521,1,0,0,rectangle_8,36.80001199,-69.60000747,1,0,0,response3disk_7,4,4,-11.19998872,8.799993694,1,0,0,rectangle_4,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,4,PF,weak,3,89.60001278,-30.40000689,1,0,0,response3disk_5,6,5,7.70778,-22.39994006,3.999993622,1,0,0,rectangle_8,-22.39994006,3.999993622,1,0,0,,,4,-22.39994006,3.999993622,1,0,0,,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,6,PF,weak,3,-24.79998893,-41.60000706,1,0,0,response5disk_5,7,3,4.12059,4.800011516,-4.800006509,1,0,0,rectangle_8,4.800011516,-4.800006509,1,0,0,,,4,4.800011516,-4.800006509,1,0,0,,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,6,PF,weak,3,68.00001246,-41.60000706,1,0,0,response3disk_5,5,5,2.90318,28.00001186,-9.60000658,1,0,0,rectangle_8,28.00001186,-9.60000658,1,0,0,,,4,28.00001186,-9.60000658,1,0,0,,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e9b3754687af2039ea9f06c,606841c2af6938803ce011a6,2021-04-03_12h23.17.588,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,16.77665522,16.70380194,16.68039969,16.68054038,16.68109683,16.68109683,,,,,,,,,,,,,,,,,,,5,PF,strong,3,38.40001202,71.99999464,1,0,0,response1disk_5,1,7,5.08858,14.40001166,-11.2000066,1,0,0,rectangle_8,14.40001166,-11.2000066,1,0,0,,,4,14.40001166,-11.2000066,1,0,0,,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
