key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,29.14719,space,8.76015,space,4.59357,35.8,3.58,536.3128492,301.6759777,1920,,space,16.78846,71.6,space,9.51952,space,6.680215,space,1.829365,space,3.496465,space,11.12078,space,5.287725,space,4.037365,space,7.318,space,10.3948,return,3.50223,109.44,766.2292834,0,0,0,0,1,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.269195,152.64,715.9664296,1,0,1,0,1,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.240595,158.4,709.2647157,2,0,2,0,1,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.21177,164.16,702.5630019,3,0,3,0,1,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.20856,164.16,702.5630019,4,0,4,0,1,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,71,12.39309167,66.55090225,443.6726817,44.36726817,199.6527068,space,5.299805,space,22.15923,space,39.73175,space,14.271935,space,1.660655,space,4.25596,5,PF,weak,3,85,48,1,0,0,response1disk_5,6,6,10.10979,6,-1,1,0,0,rectangle_8,6,-1,1,0,0,3,6,-1,1,0,0,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,2,PF,weak,3,-53,-42,1,0,0,response5disk_5,8,2,6.59002,9,-7,1,0,0,rectangle_8,-37,-97,1,0,0,3,1,-7,1,0,0,0,1,1,1,1,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,2,PF,weak,3,90,48,1,0,0,response1disk_5,3,6,9.25915,18,-1,1,0,0,rectangle_8,-46,-92,1,0,0,3,-9,3,1,0,0,0,2,2,5,1,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,4,PF,strong,3,-29,-63,1,0,0,response5disk_5,5,3,6.356455,-11,-1,1,0,0,rectangle_8,-11,-1,1,0,0,3,-11,-1,1,0,0,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,7,PF,strong,3,-36,-74,1,0,0,response5disk_5,1,3,10.360645,-21,-5,1,0,0,rectangle_8,-21,-5,1,0,0,3,-21,-5,1,0,0,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,5,PF,strong,3,-82,-44,1,0,0,response5disk_5,7,2,5.438825,5,-7,1,0,0,rectangle_8,5,-7,1,0,0,3,5,-7,1,0,0,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,6,PF,weak,3,-73,46,1,0,0,response7disk_5,6,1,3.0364,-10,-6,1,0,0,rectangle_8,-10,-6,1,0,0,3,-10,-6,1,0,0,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,3,2.935855,,,,,,,,,,,,,,,,,,,,,,,,,,space,91.29355,9,strong,-43,-89,1,0,0,response5disk,9,1,-6,0,1,0,0,rectangle,-6,0,1,0,0,,4,0.00101,-6,0,1,0,0,0,0,0,17,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,6,10.243665,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,99,29,1,0,0,response1disk,1,2,-2,-8,1,0,0,rectangle,-95,-39,1,0,0,,2,2.569135,-17,0,1,0,0,0,1,1,159,1,1,response5disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,3,4.17091,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,strong,-35,-82,1,0,0,response5disk,5,3,-3,-12,1,0,0,rectangle,-3,-12,1,0,0,,0,0.00061,-3,-12,1,0,0,0,2,2,101,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,2.453635,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,87,34,1,0,0,response1disk,4,4,10,-4,1,0,0,rectangle,10,-4,1,0,0,,4,0.000605,10,-4,1,0,0,0,3,3,84,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,3,6.589945,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,-22,-47,1,0,0,response5disk,8,5,-20,-8,1,0,0,rectangle,-20,-8,1,0,0,,6,0.000545,-20,-8,1,0,0,0,4,4,6,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,0,4.337655,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,weak,-51,64,1,0,0,response7disk,7,6,-26,-2,1,0,0,rectangle,-26,-2,1,0,0,,6,9.5E-05,-26,-2,1,0,0,0,5,5,41,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,1,12.162255,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,weak,-93,38,1,0,0,response7disk,4,7,-22,12,1,0,0,rectangle,-22,12,1,0,0,,7,0.00056,-22,12,1,0,0,0,6,6,139,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,2,9.426085,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,strong,-61,-49,1,0,0,response5disk,1,8,-15,10,1,0,0,rectangle,-15,10,1,0,0,,0,0.000555,-15,10,1,0,0,0,7,7,125,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,1,2.686025,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,-77,49,1,0,0,response7disk,6,9,-47,9,1,0,0,rectangle,-47,9,1,0,0,,7,0.000605,-47,9,1,0,0,0,8,8,37,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,4.220845,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,28,-69,1,0,0,response3disk,2,10,3,-11,1,0,0,rectangle,3,-11,1,0,0,,3,0.000605,3,-11,1,0,0,0,9,9,112,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,1.86862,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,80,42,1,0,0,response1disk,5,11,32,-3,1,0,0,rectangle,32,-3,1,0,0,,1,0.00057,32,-3,1,0,0,0,10,10,19,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed12d21e8cebc04aefac77c,60684b48bf2abe3d93bd1b67,2021-04-03_13h13.23.425,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,21.43407216,16.80773423,16.68064232,16.68223214,16.68201158,16.68223214,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,0,4.13734,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,weak,-57,80,1,0,0,response7disk,7,12,-30,18,1,0,0,rectangle,-30,18,1,0,0,1,3,0.000565,-30,18,1,0,0,0,11,11,107,1,0,,,,,,,,,,,,,,,,,,,,,
