key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,catchprac,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.3117,space,6.86401,space,5.85275,50.1,5.01,383.2335329,215.5688623,1920,,space,23.436505,100.2,space,24.0839,space,6.59748,space,2.47775,space,1.63462,space,8.20574,space,5.66911,space,12.39085,space,7.19894,space,10.2655,return,9.16262,-866.88,1359.235093,0,0,0,0,1,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.581025,-768.96,1277.824653,1,0,1,0,1,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.336435,-725.76,1241.908282,2,0,2,0,1,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.679165,-783.36,1289.796776,3,0,3,0,1,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.759305,-794.88,1299.374475,4,0,4,0,1,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,129,22.5170257,169.2154482,1128.102988,112.8102988,507.6463445,space,4.53579,space,25.222915,space,32.25948,space,1.501805,space,1.14889,space,3.87956,8,PF,strong,3,27,-56,1,0,0,response3disk_5,1,4,11.51808,0,11,1,0,0,rectangle_8,-95,-35,1,0,0,response5disk_7,2,-15,10,1,0,0,rectangle_4,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,8,PF,weak,3,83,-36,1,0,0,response3disk_5,7,5,1.699925,-18,-2,1,0,0,rectangle_8,-18,-2,1,0,0,,2,-18,-2,1,0,0,,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,6,PF,weak,3,99,50,1,0,0,response1disk_5,7,6,2.77994,-9,-3,1,0,0,rectangle_8,-71,-55,1,0,0,response5disk_7,2,-7,2,1,0,0,rectangle_4,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,5,PF,strong,3,79,-29,1,0,0,response3disk_5,9,5,3.016965,23,-19,1,0,0,rectangle_8,23,-19,1,0,0,,2,23,-19,1,0,0,,0,3,3,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,3,PF,weak,3,42,108,1,0,0,response1disk_5,8,7,0.96654,-15,-10,1,0,0,rectangle_8,-15,-10,1,0,0,,2,-15,-10,1,0,0,,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,4,PF,strong,3,-100,-35,1,0,0,response5disk_5,3,2,1.816815,12,-8,1,0,0,rectangle_8,12,-8,1,0,0,,2,12,-8,1,0,0,,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,6,PF,weak,3,86,-34,1,0,0,response3disk_5,2,5,0.949865,35,-8,1,0,0,rectangle_8,35,-8,1,0,0,,2,35,-8,1,0,0,,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,6.53012,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.635705,8,strong,102,33,1,0,0,response1disk,7,1,15,-5,1,0,0,rectangle,15,-5,1,0,0,,6,0.001325,15,-5,1,0,0,0,0,0,86,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,6,1.6165,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,weak,115,40,1,0,0,response1disk,6,2,-3,-14,1,0,0,rectangle,-3,-14,1,0,0,,6,0.00019,-3,-14,1,0,0,0,1,1,29,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,5,2.849995,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,107,-61,1,0,0,response3disk,8,3,14,-14,1,0,0,rectangle,14,-14,1,0,0,,1,0.00204,14,-14,1,0,0,0,2,2,6,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,7,1.283115,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,40,97,1,0,0,response1disk,3,4,9,11,1,0,0,rectangle,9,11,1,0,0,,0,0.001615,9,11,1,0,0,0,3,3,21,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,2,3.249945,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,weak,-98,-49,1,0,0,response5disk,7,5,9,-3,1,0,0,rectangle,9,-3,1,0,0,,5,0.0017,9,-3,1,0,0,0,4,4,50,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,6,1.516565,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,103,34,1,0,0,response1disk,8,6,15,0,1,0,0,rectangle,15,0,1,0,0,,5,0.00011,15,0,1,0,0,0,5,5,67,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,6,3.10022,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,weak,76,32,1,0,0,response1disk,8,7,3,-9,1,0,0,rectangle,3,-9,1,0,0,,5,0.00016,3,-9,1,0,0,0,6,6,64,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,1.08331,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,119,23,1,0,0,response1disk,1,8,-13,9,1,0,0,rectangle,-13,9,1,0,0,,5,0.00014,-13,9,1,0,0,0,7,7,5,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,2,0.282965,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,-62,-36,1,0,0,response5disk,9,9,8,-2,1,0,0,rectangle,116,55,1,0,0,6,7,0.10073,-37,15,1,0,0,0,8,8,136,1,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,5,2.51656,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,110,-45,1,0,0,response3disk,8,10,-2,-7,1,0,0,rectangle,-2,-7,1,0,0,6,2,0.00182,-2,-7,1,0,0,0,9,9,16,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,2,5.36653,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,-86,-40,1,0,0,response5disk,2,11,-7,12,1,0,0,rectangle,-7,12,1,0,0,6,2,0.00026,-7,12,1,0,0,0,10,10,22,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,5,3.016475,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,96,-57,1,0,0,response3disk,2,12,27,5,1,0,0,rectangle,-113,61,1,0,0,1,1,2.616635,10,-6,1,0,0,0,11,11,55,1,1,response7disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,5,2.01649,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,94,-27,1,0,0,response3disk,8,13,9,1,1,0,0,rectangle,9,1,1,0,0,1,0,0.001865,9,1,1,0,0,0,12,12,133,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,0.88336,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,88,55,1,0,0,response1disk,3,14,5,2,1,0,0,rectangle,5,2,1,0,0,1,3,0.00135,5,2,1,0,0,0,13,13,25,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f07759f859dcb38b8d4c6b5,6068418d036f27812f552542,2021-04-03_13h21.20.106,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,17.12817949,16.6656401,16.6948517,16.66496449,16.94588521,16.6948517,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,5.39991,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,58,-122,1,0,0,response3disk,7,15,23,-6,1,0,0,rectangle,23,-6,1,0,0,1,6,0.002125,23,-6,1,0,0,0,14,14,23,1,0,,,,,,,,,,,,,,,,,,,,,
