key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,4.839335,space,13.019755,space,2.98752,69.4,6.94,276.6570605,155.6195965,1920,,space,0.214635,138.8,space,1.47314,space,1.02597,space,3.20758,space,3.36179,space,5.24267,space,5.2916,space,4.127775,space,4.16002,space,3.555815,return,16.109775,-3660.48,2657.918382,0,0,0,0,1,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.012195,-947.52,1029.633676,1,0,1,0,1,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,1.89531,-69.12,502.428968,2,0,2,0,1,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.83522,371.52,237.9623438,3,0,3,0,1,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,0.81875,377.28,234.5052637,4,0,4,0,1,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,24,4.189214085,43.60971862,290.7314575,29.07314575,130.8291559,,space,6.55419,space,12.15887,space,7.185005,space,1.882185,space,2.19158,7,PF,strong,7,-96,58,1,0,0,response7disk_5,2,1,3.22153,-30,3,1,0,0,rectangle_8,-30,3,1,0,0,3,-30,3,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,4,PF,weak,7,118,-62,1,0,0,response3disk_5,5,5,4.930265,-5,-6,1,0,0,rectangle_8,-49,-115,1,0,0,3,-6,-4,1,0,0,0,1,1,5,1,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,7,PF,strong,7,-47,-109,1,0,0,response5disk_5,4,3,7.632105,-14,-2,1,0,0,rectangle_8,-14,-2,1,0,0,3,-14,-2,1,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,2,PF,weak,7,65,85,1,0,0,response1disk_5,4,7,3.993175,3,-7,1,0,0,rectangle_8,3,-7,1,0,0,3,3,-7,1,0,0,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbeeac30413241531d2a6ab,60684145a7ce64b42b4e022e,2021-04-03_12h19.54.928,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,6.99747191,6.98131424,6.953184979,7.758333334,6.943804781,6.98131424,,,,,,,,,,,,,,,,,,1,PF,weak,7,85,47,1,0,0,response1disk_5,2,6,6.643865,-3,7,1,0,0,rectangle_8,-57,-113,1,0,0,3,8,5,1,0,0,0,4,4,6,1,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
