key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,18.74394,space,2.064125,space,4.27577,37.2,3.72,516.1290323,290.3225806,1920,,space,9.73906,74.4,space,6.81996,space,4.912585,space,3.672075,space,3.96616,space,7.29625,space,6.177505,space,22.954465,space,5.93682,space,5.50368,return,2.52865,-334.08,1234.004106,0,0,0,0,1,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.43295,-290.88,1185.632865,1,0,1,0,1,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.26403,-221.76,1108.238879,2,0,2,0,1,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.03833,-126.72,1001.822149,3,0,3,0,1,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.065665,-138.24,1014.721146,4,0,4,0,1,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,111,19.37511514,108.1131425,720.7542832,72.07542832,324.3394275,space,8.08764,space,14.628945,space,27.870015,space,4.949375,space,3.030955,space,6.08549,7,PF,strong,7,80,-128,1,0,0,response3disk_5,4,4,24.853665,8,5,1,0,0,rectangle_8,65,-109,1,0,0,response3disk_7,4,4,0,1,1,0,0,rectangle_4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,1,PF,weak,7,-62,127,1,0,0,response7disk_5,8,0,6.65268,2,1,1,0,0,rectangle_8,2,1,1,0,0,,,4,2,1,1,0,0,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,5,PF,weak,7,120,56,1,0,0,response1disk_5,4,6,4.96534,-4,2,1,0,0,rectangle_8,-4,2,1,0,0,,,4,-4,2,1,0,0,,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,1,PF,weak,7,-107,-61,1,0,0,response5disk_5,8,2,5.298535,-10,2,1,0,0,rectangle_8,-10,2,1,0,0,,,4,-10,2,1,0,0,,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff1c44bfef4d15dbc331ace,606843596c08de6cb2c25cbd,2021-04-03_13h28.53.426,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,12.78606593,6.962207358,6.951615044,6.947341637,6.943808962,6.947341637,,,,,,,,,,,,,,,,,,,4,PF,strong,7,-104,44,1,0,0,response7disk_5,3,1,2.444445,12,1,1,0,0,rectangle_8,12,1,1,0,0,,,4,12,1,1,0,0,,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
