key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1444.656075,space,26.60156,space,10.68589,40.9,4.09,469.4376528,264.0586797,1920,,space,14.561425,81.8,space,21.710085,space,2.79941,space,1.48996,space,6.16768,space,9.96742,space,10.719155,space,8.948875,space,8.045805,space,7.734005,return,10.85747,-1160.64,1964.148345,0,0,0,0,1,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.871775,-987.84,1788.16691,1,0,1,0,1,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.96353,-1002.24,1802.83203,2,0,2,0,1,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,10.00798,-1010.88,1811.631101,3,0,3,0,1,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.78882,-973.44,1773.501791,4,0,4,0,1,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,180,31.41910563,192.7562131,1285.04142,128.504142,578.2686392,space,8.98175,space,17.995195,space,77.10472,space,6.226495,space,1.45026,space,6.61294,7,PF,weak,3,-53,-169,1,0,0,response5disk_5,6,3,5.916665,-4,0,1,0,0,rectangle_8,-60,-113,1,0,0,response5disk_7,3,3,-6,2,1,0,0,rectangle_4,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,8,PF,strong,3,-79,-55,1,0,0,response5disk_5,3,2,9.73402,6,2,1,0,0,rectangle_8,6,2,1,0,0,,,3,6,2,1,0,0,,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,1,PF,strong,3,123,-59,1,0,0,response3disk_5,2,5,2.55025,-2,1,1,0,0,rectangle_8,-2,1,1,0,0,,,3,-2,1,1,0,0,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,6,PF,weak,3,38,-86,1,0,0,response3disk_5,3,4,2.433365,-4,0,1,0,0,rectangle_8,-4,0,1,0,0,,,3,-4,0,1,0,0,,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,7,PF,weak,3,117,72,1,0,0,response1disk_5,4,6,4.133565,-9,8,1,0,0,rectangle_8,-9,8,1,0,0,,,3,-9,8,1,0,0,,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
