key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.623,space,8.637,space,4.73,51.5,5.15,248.5436893,155.3398058,1280,,space,9.43,103,space,12.325,space,1.519,space,0.019,space,3.298,space,6.148,space,6.081,space,8.704,space,9.97,space,1.284,return,5.798,-180.48,560.0753117,0,0,0,0,1,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.839,-180.48,560.0753117,1,0,1,0,1,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.051,-199.68,575.6042021,2,0,2,0,1,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.214,-218.88,591.1330924,3,0,3,0,1,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.348,-232.32,602.0033156,4,0,4,0,1,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,58,10.12393404,78.20739044,521.3826029,52.13826029,234.6221713,space,4.43,space,14.983,space,14.883,space,12.634,space,1.037,space,4.384,5,PF,weak,3,-34,98,1,0,0,response7disk_5,2,0,5.596,-4,-2,1,0,0,rectangle_8,-4,-2,1,0,0,2,-4,-2,1,0,0,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,2,PF,weak,3,101,36,1,0,0,response1disk_5,4,6,2.89,-5,-3,1,0,0,rectangle_8,-5,-3,1,0,0,2,-5,-3,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,3,PF,weak,3,78,-38,1,0,0,response3disk_5,6,5,2.973,-4,-1,1,0,0,rectangle_8,-4,-1,1,0,0,2,-4,-1,1,0,0,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,7,PF,strong,3,-38,-71,1,0,0,response5disk_5,8,3,2.221,7,4,1,0,0,rectangle_8,7,4,1,0,0,2,7,4,1,0,0,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,7,PF,weak,3,-60,-71,1,0,0,response5disk_5,5,3,2.797,-4,3,1,0,0,rectangle_8,-87,-32,1,0,0,2,13,1,1,0,0,0,4,4,4,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
