key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,0.964955,space,1611.231855,space,4.24995,35.5,3.55,529.2957746,304.2253521,1879,,space,8.623985,71,space,10.15376,space,4.180605,space,0.8572,space,1.90694,space,4.682085,space,3.03607,space,3.202075,space,11.89071,space,8.500635,return,3.62087,-64.8255,957.93189,0,0,0,0,1,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.978545,-1406.4315,2532.07083,1,0,1,0,1,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.17908,28.185,848.8004089,2,0,2,0,1,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.18603,28.185,848.8004089,3,0,3,0,1,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.174855,31.0035,845.4933943,4,0,4,0,1,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,85,14.83679988,79.00595938,526.7063958,52.67063958,237.0178781,space,3.904555,space,15.272875,space,17.994005,space,6.557375,space,1.868455,space,4.969395,7,PF,weak,1,55.5,100,1,0,0,response1disk_5,1,7,8.63841,0.5,-5,1,0,0,rectangle_8,0.5,-5,1,0,0,6,0.5,-5,1,0,0,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,7,PF,weak,1,-55.5,123,1,0,0,response7disk_5,3,0,2.97605,1.5,1,1,0,0,rectangle_8,1.5,1,1,0,0,6,1.5,1,1,0,0,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,6,PF,weak,1,45.5,118,1,0,0,response1disk_5,2,7,4.59471,-4.5,-5,1,0,0,rectangle_8,96.5,60,1,0,0,6,0.5,-4,1,0,0,0,2,2,1,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,8,PF,weak,1,50.5,95,1,0,0,response1disk_5,2,7,2.659345,-3.5,3,1,0,0,rectangle_8,-3.5,3,1,0,0,6,-3.5,3,1,0,0,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ea34f0a32a8c7116361d01d,6036d8221e3a840a460eb838,2021-02-24_23h50.27.933,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,13.82581019,99.63222143,13.41225427,13.35664099,13.33835159,34.93486707,,,,,,,,,,,,,,,,,,,1,PF,strong,1,49.5,109,1,0,0,response1disk_5,6,7,2.3506,-3.5,-1,1,0,0,rectangle_8,-3.5,-1,1,0,0,6,-3.5,-1,1,0,0,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
