key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,5.634365,space,8.981385,space,5.15711,39.1,3.91,491.0485934,276.2148338,1920,space,7.49781,space,12.926775,78.2,space,2.650245,space,4.361335,space,2.925865,space,8.60433,space,7.571655,space,9.6801,space,4.591475,space,3.18852,space,1.693395,return,17.580985,-17.28,836.554429,0,0,0,0,1,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.233485,-14.4,833.486381,1,0,1,0,1,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.217025,-11.52,830.418333,2,0,2,0,1,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.137425,0,818.1461408,3,0,3,0,1,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.034205,17.28,799.7378527,4,0,4,0,1,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,83,14.48769871,84.97035293,566.4690195,56.64690195,254.9110588,space,6.227295,space,9.35451,space,12.930105,space,2.184335,space,10.905695,space,3.398565,2,PF,strong,3,-126,-56,1,0,0,response5disk_5,6,2,5.373395,-12,0,1,0,0,rectangle_8,-12,0,1,0,0,2,-12,0,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,1,PF,weak,3,-112,62,1,0,0,response7disk_5,3,1,3.32995,-2,-1,1,0,0,rectangle_8,-2,-1,1,0,0,2,-2,-1,1,0,0,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,4,PF,weak,3,-76,143,1,0,0,response7disk_5,4,0,7.14209,-2,3,1,0,0,rectangle_8,-2,3,1,0,0,2,-2,3,1,0,0,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,3,PF,strong,3,47,-83,1,0,0,response3disk_5,5,4,4.65971,-4,6,1,0,0,rectangle_8,-4,6,1,0,0,2,-4,6,1,0,0,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f341b3f18eb122c6c70507e,6036fcc8894cadd32021bb4d,2021-02-25_02h26.45.571,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,16.70525109,17.01218868,16.66572917,16.66303342,16.66592199,16.75171831,,,,,,,,,,,,,,,,,,,7,PF,weak,3,71,116,1,0,0,response1disk_5,5,7,4.28195,-1,3,1,0,0,rectangle_8,-1,3,1,0,0,2,-1,3,1,0,0,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
