key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,6.10912,space,39.24861,space,13.093345,44.4,4.44,307.6576577,172.972973,1366,,space,16.30212,88.8,space,17.122875,space,9.65815,space,5.16298,space,5.866395,space,8.48839,space,9.30398,space,3.618015,space,16.433985,space,38.717465,return,4.542015,-49.176,558.728265,0,0,0,0,1,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.2382,-10.245,522.2058899,1,0,1,0,1,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.867995,34.833,479.916824,2,0,2,0,1,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.175465,-2.049,514.5169688,3,0,3,0,1,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.100375,6.147,506.8280477,4,0,4,0,1,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,51,8.90207993,59.28785233,395.2523489,39.52523489,177.863557,space,4.02064,space,13.23752,space,55.95536,space,11.747545,space,4.32516,space,6.133065,6,PF,weak,3,93,-42,1,0,0,response3disk_5,6,5,16.40901,0,2,1,0,0,rectangle_8,0,2,1,0,0,7,0,2,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,6,PF,weak,3,-33,70,1,0,0,response7disk_5,6,0,5.90095,0,4,1,0,0,rectangle_8,0,4,1,0,0,7,0,4,1,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,8,PF,strong,3,-61,41,1,0,0,response7disk_5,7,1,5.05886,0,-1,1,0,0,rectangle_8,0,-1,1,0,0,7,0,-1,1,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,4,PF,weak,3,-30,78,1,0,0,response7disk_5,3,0,2.767275,12,-1,1,0,0,rectangle_8,23,91,1,0,0,7,1,3,1,0,0,0,3,3,6,1,response1disk_7,7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6bf519a0ac5f171d604e74,6036d866a668505c4ea4e70b,2021-02-24_22h51.56.207,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.19034884,16.69327103,16.66666483,16.66744388,16.66563589,16.67325391,,,,,,,,,,,,,,,,,,,6,PF,strong,3,78,-28,1,0,0,response3disk_5,8,5,6.017585,0,2,1,0,0,rectangle_8,26,64,1,0,0,7,-3,5,1,0,0,0,4,4,3,1,response1disk_7,7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
