session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6036d809ee9021858fecf940,5f483854b7e5b32f393d9156,RETURNED,2021-02-24 22:49:50.002000,,159239.71044,27,144,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6036d80b95825dda6b08adb5,5f0af202ec6afa02e8db0daf,RETURNED,2021-02-24 22:49:47.122000,,159242.590665,20,74,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6036d8221e3a840a460eb838,5ea34f0a32a8c7116361d01d,APPROVED,2021-02-24 22:50:10.791000,2021-02-24 23:50:58.385000,3647.594,19,40,0,100,2021-02-26 18:47:45.693000,7ECA3715,Poland,Poland,Unemployed (and job seeking),Polish,Poland,Male,Yes
6036d829c86f840bc7dbe8ae,5df14bb169a117069e70b11d,APPROVED,2021-02-24 22:50:17.152000,2021-02-24 23:17:23.171000,1626.019,19,156,2,100,2021-02-26 18:47:48.073000,7ECA3715,Portugal,Portugal,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,Portugal,Male,Yes
6036d82ea8fb07090d20b595,5faeb3df6ef610000a6fc846,RETURNED,2021-02-24 22:50:56.397000,,159173.441566,26,4,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6036d830b9a6038d520a84cc,5c71b17c891e3200012477a2,APPROVED,2021-02-24 22:50:23.961000,2021-02-24 23:29:53.550000,2369.589,31,203,3,99,2021-02-26 18:47:49.108000,7ECA3715,Poland,Poland,Full-Time,Polish,Poland,Male,No
6036d8409deb447ce1c51022,5c0a6c9c886b630001638ba8,APPROVED,2021-02-24 22:50:49.016000,2021-02-24 23:18:10.638000,1641.622,27,3,0,100,2021-02-26 18:47:49.830000,7ECA3715,United Kingdom,United Kingdom,Full-Time,,United Kingdom,Male,
6036d85d669cbf9881d0fc13,5f271938dab22f02cdc90584,APPROVED,2021-02-24 22:51:19.453000,2021-02-24 23:19:35.944000,1696.491,18,28,0,100,2021-02-26 18:47:50.580000,7ECA3715,Poland,Poland,Full-Time,Polish,Poland,Female,Yes
6036d866a668505c4ea4e70b,5f6bf519a0ac5f171d604e74,APPROVED,2021-02-24 22:51:28.358000,2021-02-24 23:29:50.614000,2302.256,22,13,0,100,2021-02-26 18:47:51.320000,7ECA3715,Portugal,Portugal,Other,,Portugal,Female,Yes
6036d877e0ec51ef81f678e2,5f5290ff7ef2f05699c250d6,APPROVED,2021-02-24 22:51:35.515000,2021-02-24 23:19:13.213000,1657.698,39,25,0,100,2021-02-26 18:47:51.865000,7ECA3715,Spain,Spain,Full-Time,,Spain,Male,Yes
6036d87d7caf8ea741edb1cd,5d55d55a31022a0001428f3a,TIMED-OUT,2021-02-24 22:51:41.173000,,159129.063041,23,79,1,100,,,Poland,Poland,Other,Polish,Poland,Female,Yes
6036d892ee2cade6d4ddf4b9,5f0c675cbe0f365cc5424893,APPROVED,2021-02-24 22:52:21.333000,2021-02-24 23:24:19.870000,1918.537,27,56,0,100,2021-02-26 18:47:54.635000,7ECA3715,Portugal,Portugal,Other,Portuguese,Portugal,Male,Yes
6036d8a642f7e2a53556993c,5c52651562391c00010a1332,RETURNED,2021-02-24 23:02:22.338000,,158487.995329,40,114,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6036d8afbadcf5791034531c,5b80b3ba16aa4400016a75ef,APPROVED,2021-02-24 22:52:34.180000,2021-02-24 23:21:34.348000,1740.168,20,181,2,99,2021-02-26 18:47:55.194000,7ECA3715,Mexico,Mexico,Other,Spanish,Mexico,Male,Yes
6036d8b4aeeccd86578d424e,5e3f0bbe9907e915e0179f44,APPROVED,2021-02-24 22:52:45.832000,2021-02-24 23:20:11.842000,1646.01,33,48,0,100,2021-02-26 18:47:55.663000,7ECA3715,Portugal,Portugal,Full-Time,Portuguese,Portugal,Female,No
6036d8b9aeeccd86578d424f,5c9599ae2b1abe001628daa0,RETURNED,2021-02-24 22:52:49.796000,,159060.583852,31,20,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6036da7cb82463b32a928f19,5e89fb8da9f5aa02cfac7ef1,APPROVED,2021-02-24 23:00:12.434000,2021-02-24 23:39:25.608000,2353.174,20,116,0,100,2021-02-26 18:48:00.973000,7ECA3715,Spain,Spain,Unemployed (and job seeking),Spanish,Spain,Male,Yes
6036dbc2036206fd5ef973ec,5f285902166da3151b01faf2,APPROVED,2021-02-24 23:05:38.184000,2021-02-24 23:46:45.744000,2467.56,23,65,0,100,2021-02-26 18:48:01.712000,7ECA3715,Portugal,Portugal,Other,Portuguese,Portugal,Female,Yes
6036dbcf5d3d65df76c57d6a,5fb1a61bddc1996c01428120,TIMED-OUT,2021-02-24 23:05:51.225000,,158279.224529,19,41,0,100,,,Portugal,Portugal,Other,DATA EXPIRED,Portugal,Male,Yes
6036eda1c18d8f66cec1503f,5b8fe84a1a3ec10001a81642,APPROVED,2021-02-25 00:21:53.158000,2021-02-25 00:48:31.955000,1598.797,20,129,0,100,2021-02-26 18:48:02.695000,7ECA3715,Chile,Chile,Unemployed (and job seeking),Spanish,Chile,Male,Yes
6036f69800ca2ae78967d08b,5f32de1ebd944907faf937f4,RETURNED,2021-02-25 01:00:58.965000,,151371.55518,22,120,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6036f7d9990a45de29df2c31,6009aa37bb4a7c0253712de4,APPROVED,2021-02-25 01:05:28.939000,2021-02-25 01:32:57.325000,1648.386,25,23,0,100,2021-02-26 18:48:03.430000,7ECA3715,Bangladesh,United Kingdom,Unemployed (and job seeking),,Bangladesh,Male,Yes
6036fa1c75df5e47cf1b461d,5f06e85cf4e25a023d92fcc3,RETURNED,2021-02-25 01:15:08.228000,,150522.322527,24,103,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6036fcc8894cadd32021bb4d,5f341b3f18eb122c6c70507e,APPROVED,2021-02-25 01:26:32.441000,2021-02-25 01:54:30.570000,1678.129,20,111,1,100,2021-02-26 18:48:05.024000,7ECA3715,Spain,Spain,Full-Time,DATA EXPIRED,Spain,Male,Yes
