key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.444695,space,3.72082,space,4.705825,33.2,3.32,578.313253,325.3012048,1920,,space,7.227995,66.4,space,7.74999,space,3.287405,space,2.281755,space,3.51875,space,5.05089,space,4.717225,space,1.660015,space,4.594215,space,4.188955,return,5.42797,-221.76,1241.761636,0,0,0,0,1,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.82504,-288,1324.866925,1,0,1,0,1,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.401375,-216,1234.535089,2,0,2,0,1,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.898945,-302.4,1342.933292,3,0,3,0,1,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.25257,-362.88,1418.812034,4,0,4,0,1,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,132,23.04067747,114.7425738,764.9504918,76.49504918,344.2277213,space,3.607195,space,10.477775,space,12.117485,space,5.58709,space,1.47272,space,3.45255,4,PF,3,strong,-108,-49,1,0,0,response5disk_5,8,2,5.848735,1,12,1,0,0,rectangle_8,58,-124,1,0,0,response3disk_7,4,4,-16,13,1,0,0,rectangle_4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,1,PF,3,weak,134,60,1,0,0,response1disk_5,6,6,8.716495,-14,7,1,0,0,rectangle_8,-14,7,1,0,0,,,4,-14,7,1,0,0,,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,7,PF,3,weak,-45,-86,1,0,0,response5disk_5,4,3,4.633235,-2,-1,1,0,0,rectangle_8,-2,-1,1,0,0,,,4,-2,-1,1,0,0,,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,6,PF,3,weak,-91,-46,1,0,0,response5disk_5,3,2,2.96665,-2,-4,1,0,0,rectangle_8,41,-119,1,0,0,response3disk_7,4,4,-8,-6,1,0,0,rectangle_4,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588ff21a2597a90001667ee4,606a0f629f8bb6be88bc7cae,2021-04-04_22h11.48.907,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,16.84805825,16.66033333,16.70493812,16.69274713,16.65613095,16.69274713,,,,,,,,,,,,,,,,,,,6,PF,3,strong,-88,-40,1,0,0,response5disk_5,4,2,2.916395,-1,12,1,0,0,rectangle_8,-1,12,1,0,0,,,4,-1,12,1,0,0,,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
