key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,2.21356,space,5.798095,space,6.387875,46.2,4.62,554.1125541,311.6883117,2560,space,4.03349,space,10.265665,92.4,space,9.217385,space,14.540255,space,2.633795,space,3.64973,space,11.867615,space,19.68316,space,5.859815,space,1.83437,space,10.384195,return,3.581305,130.56,805.5079671,0,0,0,0,1,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.3837,176.64,763.9631435,1,0,1,0,1,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.079935,245.76,701.6459083,2,0,2,0,1,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.30046,195.84,746.6528004,3,0,3,0,1,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.782595,314.88,639.328673,4,0,4,0,1,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,75,13.09129401,90.72266752,604.8177835,60.48177835,272.1680026,space,4.52658,space,6.23275,space,5.83384,space,8.21728,space,1.499965,space,2.68852,2,PF,3,weak,-55.99996352,-32.00002241,1,0,0,response5disk_5,6,2,15.417125,4.000038266,-7.33335501,1,0,0,rectangle_8,4.000038266,-7.33335501,1,0,0,6,4.000038266,-7.33335501,1,0,0,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,4,PF,3,weak,80.00004053,29.99997944,1,0,0,response1disk_5,4,6,5.717075,1.33337152,-11.33335513,1,0,0,rectangle_8,1.33337152,-11.33335513,1,0,0,6,1.33337152,-11.33335513,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,7,PF,3,weak,106.666708,39.33331305,1,0,0,response1disk_5,8,6,2.21686,6.666786393,-4.666688263,1,0,0,rectangle_8,6.666786393,-4.666688263,1,0,0,6,6.666786393,-4.666688263,1,0,0,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,8,PF,3,weak,52.66678776,35.33331293,1,0,0,response1disk_5,6,6,1.85026,-36.66662961,-17.33335531,1,0,0,rectangle_8,-36.66662961,-17.33335531,1,0,0,6,-36.66662961,-17.33335531,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,3,PF,3,strong,112.0000415,39.99997973,1,0,0,response1disk_5,6,6,2.78352,-2.666628599,-7.33335501,1,0,0,rectangle_8,-2.666628599,-7.33335501,1,0,0,6,-2.666628599,-7.33335501,1,0,0,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
