key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,31.03745,space,424.92677,space,239.876965,51.8,5.18,370.6563707,208.4942085,1920,,space,7.278815,103.6,space,7.03014,space,7.697715,space,4.704165,space,3.659915,space,7.33425,space,6.99223,space,23.391055,space,46.56307,space,14.482195,return,3.203245,-391.68,932.512863,0,0,0,0,1,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.79941,-250.56,819.036546,1,0,1,0,1,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.62268,-190.08,770.4038388,2,0,2,0,1,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.680875,-210.24,786.6147412,3,0,3,0,1,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.355905,-97.92,696.2968563,4,0,4,0,1,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,79,13.78949636,107.1443867,714.2959115,71.42959115,321.4331602,space,4.48441,space,63.508735,space,41.37961,space,12.815615,space,2.220465,space,5.89504,8,PF,6,weak,-54,-119,1,0,0,response5disk_5,7,3,14.98551,9,2,1,0,0,rectangle_8,91,-114,1,0,0,response3disk_7,4,4,7,2,1,0,0,rectangle_4,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,2,PF,6,strong,-113,-41,1,0,0,response5disk_5,8,2,8.39093,1,4,1,0,0,rectangle_8,1,4,1,0,0,,,4,1,4,1,0,0,,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,6,PF,6,weak,116,72,1,0,0,response1disk_5,3,6,6.232425,7,-3,1,0,0,rectangle_8,7,-3,1,0,0,,,4,7,-3,1,0,0,,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,5,PF,6,strong,-42,-99,1,0,0,response5disk_5,5,3,5.47504,3,-9,1,0,0,rectangle_8,3,-9,1,0,0,,,4,3,-9,1,0,0,,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,7,PF,6,weak,122,-65,1,0,0,response3disk_5,7,5,5.063175,-1,1,1,0,0,rectangle_8,-1,1,1,0,0,,,4,-1,1,1,0,0,,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
