key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,2.889,space,68.579,space,8.41,40.1,4.01,340.6483791,191.521197,1366,,space,32.318,80.2,space,17.502,space,5.22,space,11.365,space,5.996,space,7.698,space,28.381,space,11.415,space,17.635,space,28.324,return,5.602,-143.43,716.5460865,0,0,0,0,1,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.562,-157.773,731.4445695,1,0,1,0,1,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.382,-141.381,714.4177318,2,0,2,0,1,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.461,-147.528,720.8027959,3,0,3,0,1,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.364,-124.989,697.3908941,4,0,4,0,1,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,72,12.56764225,75.59436816,503.9624544,50.39624544,226.7831045,space,7.559,space,24.497,space,71.355,space,28.073,space,8.8,space,4.578,2,PF,3,weak,-47,-65,1,0,0,response5disk_5,6,3,32.889,-5,5,1,0,0,rectangle_8,-5,5,1,0,0,6,-5,5,1,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,4,PF,3,strong,62,-69,1,0,0,response3disk_5,9,4,16.104,-2,3,1,0,0,rectangle_8,-2,3,1,0,0,6,-2,3,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,2,PF,3,strong,37,-72,1,0,0,response3disk_5,7,4,14.667,-6,2,1,0,0,rectangle_8,-6,2,1,0,0,6,-6,2,1,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,2,PF,3,weak,-51,72,1,0,0,response7disk_5,7,0,4.133,-4,4,1,0,0,rectangle_8,-4,4,1,0,0,6,-4,4,1,0,0,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bb18bbb70f8df0001bedd32,606a0fa34270f67cfdcbd93e,2021-04-04_12h36.05.614,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,21.21551724,17.4177665,17.01791531,17.21371611,17.54896676,17.4177665,,,,,,,,,,,,,,,,,,,1,PF,3,strong,52,84,1,0,0,response1disk_5,1,7,3.533,2,-1,1,0,0,rectangle_8,2,-1,1,0,0,6,2,-1,1,0,0,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
