key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,6.9,space,10.266,space,11.945,41.4,4.14,329.9516908,185.5072464,1366,,space,26.579,82.8,space,24.628,space,11.657,space,8.603,space,16.898,space,17.266,space,13.75,space,18.551,space,14.477,space,28.101,return,12.51,-663.876,1217.672516,0,0,0,0,1,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,10.653,-491.76,1044.504641,1,0,1,0,1,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,11.559,-577.818,1131.088578,2,0,2,0,1,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,11.355,-571.671,1124.904012,3,0,3,0,1,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,11.857,-610.602,1164.072936,4,0,4,0,1,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,113,19.72421631,122.4873833,816.5825554,81.65825554,367.4621499,space,9.504,space,73.082,space,53.115,space,23.715,space,6.952,space,7.851,5,PF,2,strong,95.5,34.5,1,0,0,response1disk_5,4,6,7.561,10.5,9.5,1,0,0,rectangle_8,10.5,9.5,1,0,0,2,10.5,9.5,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,2,PF,2,strong,40.5,-81.5,1,0,0,response3disk_5,8,4,7.937,5.5,-3.5,1,0,0,rectangle_8,5.5,-3.5,1,0,0,2,5.5,-3.5,1,0,0,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,8,PF,2,weak,-74.5,-32.5,1,0,0,response5disk_5,7,2,4.948,-1.5,-6.5,1,0,0,rectangle_8,-1.5,-6.5,1,0,0,2,-1.5,-6.5,1,0,0,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,1,PF,2,weak,-38.5,-71.5,1,0,0,response5disk_5,7,3,3.072,-2.5,-0.5,1,0,0,rectangle_8,-92.5,-29.5,1,0,0,2,9.5,3.5,1,0,0,0,3,3,6,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,1,PF,2,strong,53.5,83.5,1,0,0,response1disk_5,6,7,4.096,10.5,-1.5,1,0,0,rectangle_8,-72.5,-38.5,1,0,0,2,10.5,-3.5,1,0,0,0,4,4,0,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,8,PF,2,weak,38.5,-94.5,1,0,0,response3disk_5,1,4,2.663,-0.5,0.5,1,0,0,rectangle_8,-0.5,0.5,1,0,0,2,-0.5,0.5,1,0,0,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,7,PF,2,weak,69.5,-34.5,1,0,0,response3disk_5,5,5,2.771,1.5,1.5,1,0,0,rectangle_8,1.5,1.5,1,0,0,2,1.5,1.5,1,0,0,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,4,2.31,,,,,,,,,,,,,,,,,,,,,,,,,space,6.281,9,strong,40.5,-91.5,1,0,0,response3disk,8,1,2.5,0.5,1,0,0,rectangle,2.5,0.5,1,0,0,,2,0.007,2.5,0.5,1,0,0,0,0,0,6,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,2,4.946,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,-71.5,-53.5,1,0,0,response5disk,5,2,-3.5,-1.5,1,0,0,rectangle,-3.5,-1.5,1,0,0,,1,0.006,-3.5,-1.5,1,0,0,0,1,1,126,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,weak,,,,,,,,3,1.916,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,-42.5,-94.5,1,0,0,response5disk,9,3,2.5,1.5,1,0,0,rectangle,2.5,1.5,1,0,0,,6,0.004,2.5,1.5,1,0,0,0,2,2,42,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,weak,,,,,,,,3,1.589,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,-38.5,-86.5,1,0,0,response5disk,9,4,8.5,-4.5,1,0,0,rectangle,23.5,-95.5,1,0,0,4,4,2.986,0.5,-3.5,1,0,0,0,3,3,136,1,1,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,4,2.027,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,35.5,-92.5,1,0,0,response3disk,8,5,3.5,-5.5,1,0,0,rectangle,3.5,-5.5,1,0,0,4,4,0.001,3.5,-5.5,1,0,0,0,4,4,27,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,weak,,,,,,,,5,2.195,,,,,,,,,,,,,,,,,,,,,,,,,,,7,weak,79.5,-62.5,1,0,0,response3disk,3,6,-7.5,1.5,1,0,0,rectangle,-7.5,1.5,1,0,0,4,4,0.001,-7.5,1.5,1,0,0,0,5,5,81,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,3,3.358,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,-45.5,-96.5,1,0,0,response5disk,3,7,-9.5,0.5,1,0,0,rectangle,-9.5,0.5,1,0,0,4,4,0.001,-9.5,0.5,1,0,0,0,6,6,141,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,4,1.596,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,25.5,-92.5,1,0,0,response3disk,9,8,1.5,-2.5,1,0,0,rectangle,1.5,-2.5,1,0,0,4,7,0.003,1.5,-2.5,1,0,0,0,7,7,90,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,2,2.433,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,-90.5,-29.5,1,0,0,response5disk,1,9,-4.5,-2.5,1,0,0,rectangle,-4.5,-2.5,1,0,0,4,0,0.003,-4.5,-2.5,1,0,0,0,8,8,111,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,6,1.781,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,90.5,46.5,1,0,0,response1disk,8,10,4.5,-5.5,1,0,0,rectangle,4.5,-5.5,1,0,0,4,4,0.004,4.5,-5.5,1,0,0,0,9,9,62,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,weak,,,,,,,,4,1.492,,,,,,,,,,,,,,,,,,,,,,,,,,,6,weak,33.5,-81.5,1,0,0,response3disk,5,11,4.5,-2.5,1,0,0,rectangle,4.5,-2.5,1,0,0,4,7,0.003,4.5,-2.5,1,0,0,0,10,10,59,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,strong,,,,,,,,4,1.513,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,43.5,-104.5,1,0,0,response3disk,5,12,0.5,-6.5,1,0,0,rectangle,0.5,-6.5,1,0,0,4,2,0.005,0.5,-6.5,1,0,0,0,11,11,80,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c9cb670b472d0001295f377,606a2fb13c0e7c91a79b5a39,2021-04-05_00h30.50.550,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,26.77245509,22.96444444,21.25227964,22.36607893,24.32572993,22.96444444,,,,,,,,,,,,,,,,,,,,PF,2,weak,,,,,,,,3,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,7,weak,-37.5,-84.5,1,0,0,response5disk,7,13,4.5,0.5,1,0,0,rectangle,4.5,0.5,1,0,0,4,2,0.001,4.5,0.5,1,0,0,0,12,12,51,1,0,,,,,,,,,,,,,,,,,,,,,
