key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.533,space,9.003,space,3.852,36.1,3.61,531.8559557,299.1689751,1920,,space,7.024,72.2,space,7.995,space,4.539,space,1.254,space,2.425,space,5.179,space,3.654,space,4.014,space,5.738,space,8.326,return,12.524,-1445.76,2554.28738,0,0,0,0,1,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.769,-106.56,1009.087512,1,0,1,0,1,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.486,-57.6,952.5963342,2,0,2,0,1,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.141,2.88,882.8131144,3,0,3,0,1,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.187,-5.76,892.7821458,4,0,4,0,1,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,88,15.36045164,83.17684565,554.5123043,55.45123043,249.5305369,space,4.588,space,6.421,space,16.705,space,10.836,space,1.343,space,3.183,4,PF,3,strong,-30,-107,1,0,0,response5disk_5,3,3,6.973,4,2,1,0,0,rectangle_8,4,2,1,0,0,6,4,2,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,8,PF,3,weak,123,52,1,0,0,response1disk_5,2,6,2.653,6,-15,1,0,0,rectangle_8,6,-15,1,0,0,6,6,-15,1,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,2,PF,3,weak,48,85,1,0,0,response1disk_5,4,7,3.903,-2,8,1,0,0,rectangle_8,-2,8,1,0,0,6,-2,8,1,0,0,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,7,PF,3,strong,142,26,1,0,0,response1disk_5,3,6,2.62,-22,9,1,0,0,rectangle_8,-22,9,1,0,0,6,-22,9,1,0,0,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,1,PF,3,strong,56,69,1,0,0,response1disk_5,5,7,1.468,9,14,1,0,0,rectangle_8,94,41,1,0,0,6,-2,-4,1,0,0,0,4,4,2,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,7,PF,3,weak,-115,-57,1,0,0,response5disk_5,3,2,2.736,-14,-15,1,0,0,rectangle_8,-14,-15,1,0,0,6,-14,-15,1,0,0,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f549d6faee775809d6f5a33,606a10ee0223ae9d59fc388c,2021-04-04_21h19.41.804,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.13461538,16.7116451,16.68465909,16.72274882,16.71118531,16.7116451,,,,,,,,,,,,,,,,,,,4,PF,3,weak,100,-77,1,0,0,response3disk_5,5,5,2.619,10,-21,1,0,0,rectangle_8,10,-21,1,0,0,6,10,-21,1,0,0,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
