key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,0.054,space,21.464315,space,3.114805,44.7,4.47,305.5928412,171.8120805,1366,,space,5.87144,89.4,space,5.264685,space,2.89192,space,0.88753,space,1.571115,space,3.80223,space,4.5092,space,4.79584,space,4.473475,space,3.88858,return,4.73057,-71.715,575.9810342,0,0,0,0,1,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.678965,-65.568,570.253046,1,0,1,0,1,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.7571,-73.764,577.8903636,2,0,2,0,1,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.001575,-104.499,606.5303045,3,0,3,0,1,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.52044,-45.078,551.1597521,4,0,4,0,1,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,58,10.12393404,67.88097772,452.5398515,45.25398515,203.6429332,space,4.33582,space,12.859035,space,10.355285,space,1.394385,space,1.966655,space,3.81806,6,PF,3,strong,-73,-49,1,0,0,response5disk_5,6,2,4.20286,12,-4,1,0,0,rectangle_8,12,-4,1,0,0,0,12,-4,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,6,PF,3,strong,-58,-32,1,0,0,response5disk_5,5,2,1.915065,-7,-3,1,0,0,rectangle_8,-24,75,1,0,0,0,-2,6,1,0,0,0,1,1,3,1,response7disk_7,0,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,6,PF,3,strong,68,-37,1,0,0,response3disk_5,2,5,2.736605,17,-8,1,0,0,rectangle_8,17,-8,1,0,0,0,17,-8,1,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,1,PF,3,weak,53,-69,1,0,0,response3disk_5,3,4,2.33991,23,1,1,0,0,rectangle_8,23,1,1,0,0,0,23,1,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,8,PF,3,weak,-33,-60,1,0,0,response5disk_5,1,3,2.21767,4,-3,1,0,0,rectangle_8,4,-3,1,0,0,0,4,-3,1,0,0,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,5,PF,3,weak,-60,-18,1,0,0,response5disk_5,1,2,1.853965,-9,1,1,0,0,rectangle_8,-44,72,1,0,0,0,-3,-2,1,0,0,0,5,5,1,1,response7disk_7,0,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,2,PF,3,weak,35,-75,1,0,0,response3disk_5,5,4,3.5486,7,6,1,0,0,rectangle_8,7,6,1,0,0,0,7,6,1,0,0,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,6,2.939265,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.232385,5,weak,90,32,1,0,0,response1disk,9,1,0,-4,1,0,0,rectangle,-81,-41,1,0,0,response5disk_3,,2,3.7087,-7,0,1,0,0,rectangle,0,0,0,136,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,4,1.48629,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,52,-84,1,0,0,response3disk,6,2,4,-7,1,0,0,rectangle,4,-7,1,0,0,,,0,0.00311,4,-7,1,0,0,,0,1,1,148,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,1,2.536145,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,-69,23,1,0,0,response7disk,1,3,-17,-3,1,0,0,rectangle,-17,-3,1,0,0,,,0,0.000645,-17,-3,1,0,0,,0,2,2,151,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,4,3.5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,35,-55,1,0,0,response3disk,8,4,-2,4,1,0,0,rectangle,-2,4,1,0,0,,,7,0.002725,-2,4,1,0,0,,0,3,3,27,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,0,1.77287,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,-40,61,1,0,0,response7disk,9,5,13,-9,1,0,0,rectangle,13,-9,1,0,0,,,6,0.00593,13,-9,1,0,0,,0,4,4,17,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,3,2.03357,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,-32,-84,1,0,0,response5disk,5,6,3,-9,1,0,0,rectangle,3,-9,1,0,0,,,6,0.000705,3,-9,1,0,0,,0,5,5,49,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,3,1.65337,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,-18,-86,1,0,0,response5disk,3,7,8,4,1,0,0,rectangle,8,4,1,0,0,,,7,0.00387,8,4,1,0,0,,0,6,6,109,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,2,1.536425,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,weak,-67,-36,1,0,0,response5disk,2,8,-12,-15,1,0,0,rectangle,-45,-58,1,0,0,response5disk_3,3,3,2.156625,1,-2,1,0,0,rectangle,0,7,7,36,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,6,1.776895,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,68,40,1,0,0,response1disk,8,9,17,0,1,0,0,rectangle,17,0,1,0,0,,3,3,0.000535,17,0,1,0,0,,0,8,8,35,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,5,1.54662,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,weak,56,-18,1,0,0,response3disk,1,10,5,-5,1,0,0,rectangle,5,-5,1,0,0,,3,2,0.002655,5,-5,1,0,0,,0,9,9,96,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7cc1dd2fe61814cae2ce9c,606a0ef9eb327fa061264a69,2021-04-04_20h16.14.253,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.93293103,16.80377535,16.70066558,16.70641243,16.88983796,16.80377535,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,5,2.14624,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,77,-58,1,0,0,response3disk,9,11,2,-1,1,0,0,rectangle,56,-26,1,0,0,response3disk_3,5,5,2.18774,21,-4,1,0,0,rectangle,0,10,10,160,1,1,,,,,,,,,,,,,,,,,,,
