key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,2.898295,space,31.840125,space,10.067,49.9,4.99,288.5771543,180.3607214,1440,,space,12.45813,99.8,space,15.531625,space,10.54062,space,1.703915,space,5.629335,space,9.268,space,9.77242,space,12.33,space,10.246415,space,17.120045,return,4.13875,0,480.8043202,0,0,0,0,1,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.08438,8.64,473.5922554,1,0,1,0,1,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.95163,25.92,459.1681258,2,0,2,0,1,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.05258,12.96,469.986223,3,0,3,0,1,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.923045,30.24,455.5620934,4,0,4,0,1,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,47,8.203877582,61.4060237,409.3734914,40.93734914,184.2180711,space,5.01696,space,26.72687,space,41.81871,space,7.34642,space,6.133795,space,5.351085,7,PF,3,weak,-31.56640625,87.9140625,1,0,0,response7disk_5,9,0,16.13488,3.4296875,4.2421875,1,0,0,rectangle_8,3.4296875,4.2421875,1,0,0,1,3.4296875,4.2421875,1,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,8,PF,3,weak,37.0234375,-67.4296875,1,0,0,response3disk_5,1,4,7.417125,-2.32421875,3.97265625,1,0,0,rectangle_8,-2.32421875,3.97265625,1,0,0,1,-2.32421875,3.97265625,1,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,3,PF,3,weak,61.3203125,26.44140625,1,0,0,response1disk_5,9,6,3.601665,17.1015625,-5.6484375,1,0,0,rectangle_8,17.1015625,-5.6484375,1,0,0,1,17.1015625,-5.6484375,1,0,0,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,6,PF,3,weak,-79.13671875,-23.96484375,1,0,0,response5disk_5,3,2,2.600835,-5.578125,-7.0546875,1,0,0,rectangle_8,-5.578125,-7.0546875,1,0,0,1,-5.578125,-7.0546875,1,0,0,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fde2f7e43c57856e4e4a919,606a0f487d2ca0eaf2287a37,2021-04-04_21h12.14.090,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,60675255c767bca6388caeee,16.7670068,16.66666841,16.7101174,16.66438585,16.66603416,16.66666841,,,,,,,,,,,,,,,,,,,5,PF,3,strong,-62.20703125,-30.98828125,1,0,0,response5disk_5,8,2,3.050835,-5.5,-2.921875,1,0,0,rectangle_8,-72.0703125,33.58984375,1,0,0,1,-10.87890625,-2.3046875,1,0,0,0,4,4,2,1,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
