key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,2.599255,space,7.864965,space,10.859825,32.4,3.24,592.5925926,333.3333333,1920,,space,6.740755,64.8,space,18.242815,space,3.545895,space,8.52338,space,8.907105,space,11.683625,space,15.975705,space,11.22915,space,5.219295,space,13.527865,return,2.98996,-705.6,1894.440747,0,0,0,0,1,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.54991,-970.56,2235.069832,1,0,1,0,1,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.42576,-910.08,2157.317541,2,0,2,0,1,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.32619,-864,2098.0777,3,0,3,0,1,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.85979,-642.24,1812.985965,4,0,4,0,1,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,210,36.65562324,178.1463289,1187.642193,118.7642193,534.4389868,space,12.95562,space,12.63802,space,26.344695,space,9.98819,space,3.95825,space,5.513915,7,PF,8,weak,56,-135,1,0,0,response3disk_5,9,4,7.29077,-4,-12,1,0,0,rectangle_8,-4,-12,1,0,0,1,-4,-12,1,0,0,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,6,PF,8,weak,-29,-97,1,0,0,response5disk_5,9,3,3.53933,24,-2,1,0,0,rectangle_8,24,-2,1,0,0,1,24,-2,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,6,PF,8,strong,76,-113,1,0,0,response3disk_5,6,4,1.979705,-7,0,1,0,0,rectangle_8,-80,43,1,0,0,1,19,-17,1,0,0,0,2,2,2,1,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,6,PF,8,strong,107,-89,1,0,0,response3disk_5,6,5,4.87873,7,-10,1,0,0,rectangle_8,7,-10,1,0,0,1,7,-10,1,0,0,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fe100d9ece28c2fa6e9a5a1,606a130817d5d51493dda7de,2021-04-04_20h27.21.043,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,6.173654618,6.067036182,6.062795572,6.08311939,6.062575576,6.067036182,,,,,,,,,,,,,,,,,,,2,PF,8,weak,124,26,1,0,0,response1disk_5,9,6,3.559765,23,-14,1,0,0,rectangle_8,23,-14,1,0,0,1,23,-14,1,0,0,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
