key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,8.756,space,19.406,space,6.854,42.4,4.24,301.8867925,169.8113208,1280,,space,11.851,84.8,space,17.882,space,4.584,space,1.579,space,5.847,space,26.078,space,24.097,space,32.27,space,21.012,space,15.157,return,5.65,-172.8,672.7354578,0,0,0,0,1,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.259,-128.64,629.3534517,1,0,1,0,1,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.289,-132.48,633.1258,2,0,2,0,1,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.406,-145.92,646.3290193,3,0,3,0,1,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.407,-144,644.4428451,4,0,4,0,1,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,64,11.17123756,71.04907087,473.6604725,47.36604725,213.1472126,space,7.958,space,16.745,space,34.888,space,16.029,space,3.646,space,5.108,6,PF,3,strong,-29,95,1,0,0,response7disk_5,6,0,12.991,-5,5,1,0,0,rectangle_8,-42,-82,1,0,0,response5disk_7,3,3,2,-3,1,0,0,rectangle_4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,7,PF,3,weak,41,85,1,0,0,response1disk_5,4,7,10.741,-9,1,1,0,0,rectangle_8,-37,-63,1,0,0,response5disk_7,3,3,-7,5,1,0,0,rectangle_4,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,6,PF,3,strong,25,-79,1,0,0,response3disk_5,5,4,7.078,-7,1,1,0,0,rectangle_8,-7,1,1,0,0,,,3,-7,1,1,0,0,,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,7,PF,3,weak,-30,81,1,0,0,response7disk_5,2,0,3.181,-11,5,1,0,0,rectangle_8,-11,5,1,0,0,,,3,-11,5,1,0,0,,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff040139cc6b3ee87f4af58,606a0fd3c8e677356aece9be,2021-04-04_21h13.50.880,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.08399366,16.81001727,16.74576271,16.76868829,16.73613445,16.76868829,,,,,,,,,,,,,,,,,,,2,PF,3,strong,38,97,1,0,0,response1disk_5,3,7,4.047,-1,1,1,0,0,rectangle_8,-1,1,1,0,0,,,3,-1,1,1,0,0,,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
