key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.83095,space,33.210465,space,4.646975,57.8,5.78,259.5155709,173.0103806,1500,,space,12.07604,115.6,space,13.307595,space,3.537305,space,1.700725,space,3.47527,space,7.29006,space,8.891005,space,8.38606,space,10.022965,space,6.19149,return,6.395735,-303.75,651.2787309,0,0,0,0,1,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.04798,-382.5,708.0291597,1,0,1,0,1,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.6812,-342,678.8432249,2,0,2,0,1,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.127665,-267.75,625.3356777,3,0,3,0,1,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.010895,-252,613.9855919,4,0,4,0,1,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,65,11.34578815,98.36798322,655.7865548,65.57865548,295.1039497,space,4.02228,space,10.11718,space,57.38098,space,8.102235,space,9.45514,space,5.196975,2,PF,weak,3,43.24333191,-109.3369675,1,0,0,response3disk_5,6,4,15.12266,-15.58441162,-7.794151306,1,0,0,rectangle_8,-15.58441162,-7.794151306,1,0,0,2,-15.58441162,-7.794151306,1,0,0,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,8,PF,strong,3,87.85797119,-38.66405487,1,0,0,response3disk_5,5,5,5.421545,6.435089111,2.931861877,1,0,0,rectangle_8,6.435089111,2.931861877,1,0,0,2,6.435089111,2.931861877,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,4,PF,weak,3,90.51933289,51.66828156,1,0,0,response1disk_5,1,6,3.08746,9.782028198,-10.52761078,1,0,0,rectangle_8,9.782028198,-10.52761078,1,0,0,2,9.782028198,-10.52761078,1,0,0,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,8,PF,weak,3,105.5508423,37.51194,1,0,0,response1disk_5,3,6,5.425,7.487716675,0.875816345,1,0,0,rectangle_8,7.487716675,0.875816345,1,0,0,2,7.487716675,0.875816345,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bf3294917a7de0001cf6e4b,606c0d650f1813c85a8caba2,2021-04-06_09h27.49.581,Colour_Similarity_Experiment,2020.2.10,Linux x86_64,60,6067542a4a25243f4d7d4fcf,17.29127232,16.73567018,16.74568922,16.75182507,16.69286181,16.74568922,,,,,,,,,,,,,,,,,,,3,PF,strong,3,-64.55421448,-39.10427094,1,0,0,response5disk_5,4,2,8.475915,14.3120575,-5.596923828,1,0,0,rectangle_8,14.3120575,-5.596923828,1,0,0,2,14.3120575,-5.596923828,1,0,0,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
