key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.869745,space,8.817435,space,5.318215,40.7,4.07,471.7444717,265.3562654,1920,,space,12.459305,81.4,space,10.06747,space,6.23387,space,1.47064,space,4.21069,space,8.184595,space,7.969275,space,13.61823,space,9.069795,space,19.183355,return,3.869085,46.08,738.8241587,0,0,0,0,1,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.8001,60.48,724.0869747,1,0,1,0,1,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.835615,51.84,732.9292851,2,0,2,0,1,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.7498,69.12,715.2446643,3,0,3,0,1,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.81084,57.6,727.0344115,4,0,4,0,1,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,73,12.74219284,77.79108729,518.6072486,51.86072486,233.3732619,space,6.041575,space,73.11789,space,48.748465,space,5.912535,space,2.32172,space,4.78836,1,PF,strong,3,-89,-45,1,0,0,response5disk_5,8,2,16.74859,-4,8,1,0,0,rectangle_8,-4,8,1,0,0,5,-4,8,1,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,4,PF,strong,3,60,-111,1,0,0,response3disk_5,8,4,4.27688,7,-5,1,0,0,rectangle_8,7,-5,1,0,0,5,7,-5,1,0,0,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,5,PF,weak,3,-53,-105,1,0,0,response5disk_5,1,3,5.54217,-9,-9,1,0,0,rectangle_8,127,-77,1,0,0,5,1,4,1,0,0,0,2,2,4,1,response3disk_7,5,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,2,PF,strong,3,125,-43,1,0,0,response3disk_5,7,5,4.71549,20,9,1,0,0,rectangle_8,20,9,1,0,0,5,20,9,1,0,0,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ed7a7a467a98224295459ff,606cad28fd1999412342b5c2,2021-04-06_19h49.24.718,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.94127706,16.68299057,16.69797727,16.66593333,16.66549519,16.68299057,,,,,,,,,,,,,,,,,,,6,PF,weak,3,131,40,1,0,0,response1disk_5,4,6,5.95788,8,-3,1,0,0,rectangle_8,8,-3,1,0,0,5,8,-3,1,0,0,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
