key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,2.681465,space,12.267665,space,5.54886,44.7,4.47,572.7069351,322.147651,2560,,space,14.039345,89.4,space,8.7291,space,2.733715,space,2.5814,space,5.855375,space,8.518525,space,7.553315,space,13.217305,space,11.45141,space,13.054695,return,9.68644,-1278.72,2145.754507,0,0,0,0,1,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.930825,-1102.08,1981.155217,1,0,1,0,1,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.832475,-1079.04,1959.685745,2,0,2,0,1,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.332525,-963.84,1852.338382,3,0,3,0,1,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.801975,-1071.36,1952.529254,4,0,4,0,1,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,196,34.21191502,229.3908902,1529.272602,152.9272602,688.1726707,space,5.65199,space,18.750595,space,35.14216,space,10.28353,space,3.283655,space,4.385285,1,PF,strong,3,126.8867188,59.49609375,1,0,0,response1disk_5,4,6,10.79045,-6.60546875,-7.046875,1,0,0,rectangle_8,-6.60546875,-7.046875,1,0,0,2,-6.60546875,-7.046875,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,6,PF,strong,3,112.0039063,-56.55078125,1,0,0,response3disk_5,2,5,18.77934,35.71875,12.234375,1,0,0,rectangle_8,35.71875,12.234375,1,0,0,2,35.71875,12.234375,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,5,PF,weak,3,-74.3046875,-61.1015625,1,0,0,response5disk_5,7,2,3.07967,0.55078125,-23.26171875,1,0,0,rectangle_8,0.55078125,-23.26171875,1,0,0,2,0.55078125,-23.26171875,1,0,0,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,4,PF,weak,3,-125.2460938,-59.796875,1,0,0,response5disk_5,5,2,1.842235,-18.109375,-1.88671875,1,0,0,rectangle_8,-18.109375,-1.88671875,1,0,0,2,-18.109375,-1.88671875,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,5,PF,weak,3,89.3359375,-68.42578125,1,0,0,response3disk_5,1,5,2.182595,21.6171875,5.1796875,1,0,0,rectangle_8,21.6171875,5.1796875,1,0,0,2,21.6171875,5.1796875,1,0,0,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
