key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,6.07054,space,45.34046,space,14.295075,39.8,3.98,343.2160804,192.9648241,1366,,space,23.76511,79.6,space,27.142945,space,20.799335,space,4.21526,space,7.9362,space,9.77875,space,32.454335,space,28.121815,space,27.128035,space,44.5106,return,10.31719,-751.983,1358.833271,0,0,0,0,1,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.98951,-717.15,1322.378512,1,0,1,0,1,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,10.106815,-729.444,1335.244898,2,0,2,0,1,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.67358,-678.219,1281.634958,3,0,3,0,1,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.95133,-713.052,1318.089717,4,0,4,0,1,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,132,23.04067747,137.5528445,917.0189631,91.70189631,412.6585334,space,13.925375,space,44.91294,space,78.70061,space,19.64507,space,11.249645,space,9.347745,6,PF,strong,3,80,51,1,0,0,response1disk_5,8,6,11.425805,5,3,1,0,0,rectangle_8,5,3,1,0,0,4,5,3,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,7,PF,weak,3,-47,-68,1,0,0,response5disk_5,6,3,7.85685,-7,-5,1,0,0,rectangle_8,30,-61,1,0,0,4,2,-1,1,0,0,0,1,1,4,1,response3disk_7,4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,6,PF,weak,3,-66,-57,1,0,0,response5disk_5,7,2,14.287535,6,3,1,0,0,rectangle_8,6,3,1,0,0,4,6,3,1,0,0,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,1,PF,strong,3,-70,-36,1,0,0,response5disk_5,2,2,4.8116,-6,2,1,0,0,rectangle_8,-6,2,1,0,0,4,-6,2,1,0,0,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4756db83588013e9e31bfc,606c0d55d433daa165747872,2021-04-06_09h29.10.864,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.38736607,16.78786585,16.77208633,16.82670551,16.71150143,16.78786585,,,,,,,,,,,,,,,,,,,4,PF,strong,3,70,87,1,0,0,response1disk_5,1,7,4.31787,8,-8,1,0,0,rectangle_8,8,-8,1,0,0,4,8,-8,1,0,0,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
