key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,4.792915,space,32.80485,space,13.2816,56.6,5.66,339.2226148,190.8127208,1920,,space,27.528685,113.2,space,21.45738,space,4.121945,space,1.061565,space,10.169635,space,10.37273,space,9.925925,space,19.131285,space,45.930595,space,19.877855,return,5.17272,-181.44,698.7108978,0,0,0,0,1,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.87075,-126.72,658.4414123,1,0,1,0,1,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.773205,-109.44,645.7247326,2,0,2,0,1,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.97487,-144,671.1580919,3,0,3,0,1,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.867755,-126.72,658.4414123,4,0,4,0,1,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,66,11.52033873,97.80767584,652.0511723,65.20511723,293.4230275,space,5.656385,space,18.937155,space,53.314805,space,15.506145,space,3.204675,space,7.584085,3,PF,strong,3,81,-122,1,0,0,response3disk_5,1,4,10.08074,-2,4,1,0,0,rectangle_8,-2,4,1,0,0,7,-2,4,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,8,PF,strong,3,126,-37,1,0,0,response3disk_5,8,5,12.64909,-36,-14,1,0,0,rectangle_8,-36,-14,1,0,0,7,-36,-14,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,4,PF,strong,3,-92,41,1,0,0,response7disk_5,8,1,3.19063,-12,5,1,0,0,rectangle_8,70,131,1,0,0,7,10,-13,1,0,0,0,2,2,2,1,response1disk_7,7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,3,PF,weak,3,-79,121,1,0,0,response7disk_5,4,0,3.656845,-19,-4,1,0,0,rectangle_8,-19,-4,1,0,0,7,-19,-4,1,0,0,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f4d19c88ac21f85ef786134,606c0f24955f79fbad03cf49,2021-04-06_09h36.28.548,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.62242268,16.62818228,16.6187405,16.62028649,16.62059448,16.62059448,,,,,,,,,,,,,,,,,,,5,PF,weak,3,88,-51,1,0,0,response3disk_5,8,5,10.1386,-6,1,1,0,0,rectangle_8,-6,1,1,0,0,7,-6,1,1,0,0,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
