key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,9.943055,space,42.539565,space,9.48099,43.2,4.32,370.3703704,277.7777778,1600,,space,19.48816,86.4,space,14.57918,space,4.40355,space,2.818925,space,5.899645,space,14.896055,space,39.91593,space,19.222055,space,13.923455,space,5.3076,return,3.37619,110.4,510.6350873,0,0,0,0,1,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.539195,88.8,531.4615938,1,0,1,0,1,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.171095,141.6,480.5523555,2,0,2,0,1,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.64808,216,408.8166106,3,0,3,0,1,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.217925,134.4,487.4945244,4,0,4,0,1,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,49,8.552978756,55.42330234,369.4886823,36.94886823,166.269907,space,3.654475,space,16.38332,space,48.480315,space,9.31639,space,2.615065,space,6.689235,5,PF,weak,3,-93,48,1,0,0,response7disk_5,1,1,14.01589,-6,-5,1,0,0,rectangle_8,103,46,1,0,0,response1disk_7,6,6,12,9,1,0,0,rectangle_4,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,2,PF,weak,3,-61,105,1,0,0,response7disk_5,1,0,2.50028,-10,2,1,0,0,rectangle_8,-10,2,1,0,0,,,6,-10,2,1,0,0,,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,4,PF,strong,3,-84,-42,1,0,0,response5disk_5,3,2,3.849915,4,7,1,0,0,rectangle_8,119,40,1,0,0,response1disk_7,6,6,7,2,1,0,0,rectangle_4,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,2,PF,weak,3,79,57,1,0,0,response1disk_5,6,6,14.51626,-8,13,1,0,0,rectangle_8,-8,13,1,0,0,,,6,-8,13,1,0,0,,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8d7850f3a3ef065112ffb5,606c0e82a275dcb11b55fb1c,2021-04-06_09h32.42.730,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,16.78178822,16.66385714,16.68937591,16.67455594,16.665251,16.67455594,,,,,,,,,,,,,,,,,,,6,PF,weak,3,103,37,1,0,0,response1disk_5,3,6,11.88312,0,7,1,0,0,rectangle_8,0,7,1,0,0,,,6,0,7,1,0,0,,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
