key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.555,space,5.571,space,3.665,32.3,3.23,475.5417957,267.4922601,1536,,space,9.812,64.6,space,11.729,space,2.626,space,0.619,space,1.776,space,4.602,space,5.406,space,5.654,space,6.816,space,11.381,return,3.406,103.68,658.6076434,0,0,0,0,1,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.392,105.984,655.6364811,1,0,1,0,1,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.317,117.504,640.7806696,2,0,2,0,1,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.008,158.976,587.2997482,3,0,3,0,1,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.335,115.2,643.7518319,4,0,4,0,1,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,64,11.17123756,54.12464597,360.8309731,36.08309731,162.3739379,space,2.971,space,5.693,space,17.01,space,3.39,space,3.245,space,3.158,7,PF,weak,3,-46,67,1,0,0,response7disk_5,2,0,7.46,7,-6,1,0,0,rectangle_8,7,-6,1,0,0,1,7,-6,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,7,PF,strong,3,106,-31,1,0,0,response3disk_5,2,5,6.825,0,-1,1,0,0,rectangle_8,-70,42,1,0,0,1,8,9,1,0,0,0,1,1,2,1,response7disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,5,PF,strong,3,-52,70,1,0,0,response7disk_5,5,0,1.94,-2,-2,1,0,0,rectangle_8,-2,-2,1,0,0,1,-2,-2,1,0,0,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,3,PF,weak,3,64,24,1,0,0,response1disk_5,8,6,1.772,-8,1,1,0,0,rectangle_8,-8,1,1,0,0,1,-8,1,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f9c9aebcee6f616c84e40d7,606c0d360f1813c85a8caba0,2021-04-06_02h28.12.743,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,21.70909091,16.8742515,16.77286136,16.75298126,16.7454324,16.77286136,,,,,,,,,,,,,,,,,,,8,PF,weak,3,19,-111,1,0,0,response3disk_5,1,4,4.766,-6,3,1,0,0,rectangle_8,-6,3,1,0,0,1,-6,3,1,0,0,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
