key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.074125,space,35.26891,space,19.276435,59.9,5.99,320.5342237,180.3005008,1920,space,3.20015,space,45.199055,119.8,space,1.467805,space,3.40866,space,2.65664,space,1.767145,space,3.98951,space,0.724585,space,1.40265,space,0.18538,space,107.244185,return,8.425435,-740.16,1048.738036,0,0,0,0,1,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.31516,-547.2,914.5583123,1,0,1,0,1,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.76407,-624.96,968.6307381,2,0,2,0,1,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.864805,-469.44,860.4858866,3,0,3,0,1,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.53623,-930.24,1180.915076,4,0,4,0,1,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,86,15.01135047,134.876984,899.1798931,89.91798931,404.6309519,space,3.00466,space,9.553835,space,17.93119,space,10.8077,space,13.67451,space,2.650065,4,PF,weak,3,66,40,1,0,0,response1disk_5,3,6,5.55931,12,14,1,0,0,rectangle_8,-31,-78,1,0,0,response5disk_7,3,3,12,-4,1,0,0,rectangle_4,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,3,PF,strong,3,84,24,1,0,0,response1disk_5,5,6,2.266735,-2,-4,1,0,0,rectangle_8,-2,-4,1,0,0,,,3,-2,-4,1,0,0,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,4,PF,weak,3,-78,-64,1,0,0,response5disk_5,2,2,1.350075,-13,12,1,0,0,rectangle_8,-13,12,1,0,0,,1,3,-13,12,1,0,0,,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,3,PF,strong,3,78,-18,1,0,0,response3disk_5,5,5,1.59506,4,-1,1,0,0,rectangle_8,-24,-66,1,0,0,response5disk_7,3,3,-1,-3,1,0,0,rectangle_4,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,7,PF,weak,3,81,-87,1,0,0,response3disk_5,7,4,2.455285,-19,1,1,0,0,rectangle_8,-19,1,1,0,0,,,3,-19,1,1,0,0,,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
